car_model,price,year_model,kms,color,fueltype
Renault Duster Oroch 2.0 Intens,$82.000.000,2022,22.000,Plateado,Gasolina
Renault Duster 1.6 Zen,$74.490.000,2023,35.400,Blanco,Gasolina
Renault Duster 1.3 T Iconic Mt 4X4,$94.000.000,2024,7.000,Color not found,Gasolina
Renault Duster 1.3 Intense Cvt,$79.990.000,2023,17.000,Plateado,Gasolina
Renault Duster 2.0 Expression,$57.000.000,2020,42.500,Color not found,Gasolina
Renault Duster 1.6 Intense Mt,$79.900.000,2024,27.000,Plateado,Gasolina
Renault Duster 1.6 Zen Mt,$82.500.000,2024,57,Blanco,Gasolina
Renault Duster 1.6 Zen Mt,$79.900.000,2024,4.546,Blanco,Gasolina
Renault Duster 1.6 Intense Mt,$73.990.000,2022,44.500,Plateado,Gasolina
Renault Duster 2.0 Dynamique 4x2,$44.900.000,2016,84.000,Rojo,Gasolina
Renault Duster 1.6 Intense Mt,$80.990.000,2024,16.180,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x4,$61.000.000,2017,76.871,Plateado,Gasolina
Renault Duster 1.6 Zen,$77.990.000,2023,10.600,Blanco,Gasolina y gas
Renault Duster 1.6 Zen Mt,$75.000.000,2023,27.900,Blanco,Gasolina
Renault Duster 1.6 Zen,$70.000.000,2023,28.900,Gris,Gasolina
Renault Duster Oroch 1.3 Outsider ,$92.000.000,2023,27.800,Color not found,Gasolina
Renault Duster INTENS,$82.960.000,2022,46.752,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$53.000.000,2017,82.000,Blanco,Gasolina
Renault Duster 1.6 Expression Mecánica,$42.000.000,2014,149.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$59.500.000,2020,58.000,Blanco,Gasolina
Renault Duster Oroch 2.0 Intens,$59.900.000,2021,55.000,Rojo,Gasolina
Renault Duster 1.6 Dynamique,$45.900.000,2018,200.000,Color not found,Gasolina
Renault Duster 2.0 Dynamique 4x4,$63.000.000,2020,43.500,Blanco,Gasolina
Renault Duster 1.3 Intense Mt 4x4,$77.900.000,2022,95.974,Color not found,Gasolina
Renault Duster INTENS,$75.900.000,2022,32.457,Color not found,Gasolina
Renault Duster 1.6 Zen Mt,$78.000.000,2024,44.782,Blanco,Gasolina
Renault Duster 1.6 Dynamique,$51.500.000,2018,83.500,Gris,Gasolina
Renault Duster 2.0 Dynamique,$49.800.000,2018,53.000,Gris,Gasolina
Renault Duster 2.0 Dynamique,$41.000.000,2014,132.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$50.500.000,2016,86.000,Color not found,Gasolina
Renault Duster 1.3 Intense Cvt,$78.000.000,2022,38.000,Gris,Gasolina
Renault duster dinamique 2.0 Automática,$42.000.000,2014,126.052,Gris,Gasolina
Renault Duster INTENS,$77.900.000,2023,45.822,Blanco,Gasolina
Renault Duster 1.3 Intense Mt 4x4,$90.000.000,2023,10.600,Plateado,Gasolina
Renault Duster 2.0 Dynamique 4x2,$64.900.000,2020,31.000,Plateado,Gasolina
Renault Duster Zen,$70.900.000,2024,9.835,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x4,$53.900.000,2018,112.000,Gris,Gasolina
Renault Duster 1.6 Zen,$64.000.000,2022,134.000,Color not found,Gasolina
Renault Oroch Duster Oroch,$101.000.000,2023,3.500,Color not found,Gasolina
Renault Duster 2.0 Dynamique 4x2,$59.000.000,2020,84.400,Color not found,Gasolina
